trial name,tunable,results 1,results 2,results 3,tunable 1,min,default,max,tunable 2,min,default,max
1,220422192422,9162,9302,9292,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,20000
2,220422192533,16617,15727,16737,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,40000
3,220422192735,21112,20546,21637,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,75000
4,220422192907,20332,20126,19944,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,100000
5,220422193019,20497,21210,21081,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,150000
6,220422193131,21049,20961,21407,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,200000
7,220422193242,21428,21293,21527,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,300000
8,220422193354,21855,21797,22032,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,500000
9,220422193506,22016,21885,22483,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,750000
10,220422193618,22287,22317,22695,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,1000000
11,220422193729,22757,22542,22949,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,1500000
12,220422193841,22755,23015,22832,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,2000000
13,220422193953,23027,22614,22377,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,4000000
14,220422194104,22893,22757,23007,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,6000000
15,220422194216,22700,22621,22389,net.ipv4.tcp_rmem,4096,87380,90000,net.ipv4.tcp_wmem,4096,16384,8000000
16,220422194328,9295,9353,9351,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,20000
17,220422194439,16558,16432,16662,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,40000
18,220422194551,21313,20747,21082,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,75000
19,220422194703,20349,20040,20191,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,100000
20,220422194814,21116,20999,20899,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,150000
21,220422194926,21365,20864,21500,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,200000
22,220422195038,21280,21160,21538,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,300000
23,220422195149,21886,21661,21746,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,500000
24,220422195301,21961,22113,22206,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,750000
25,220422195413,22564,22299,21999,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,1000000
26,220422195525,22654,22579,23057,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,1500000
27,220422195636,22749,22238,22715,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,2000000
28,220422195748,22515,22839,23209,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,4000000
29,220422195900,22844,22708,22802,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,6000000
30,220422200011,22605,22809,23026,net.ipv4.tcp_rmem,4096,87380,100000,net.ipv4.tcp_wmem,4096,16384,8000000
31,220422200123,timeout,timeout,timeout,net.ipv4.tcp_rmem,4096,87380,150000,net.ipv4.tcp_wmem,4096,16384,20000
